nicho,cidade,nome,endereco,telefone,website,tipo,nota,reviews,Descricao,Latitude,Longitude,nicho_limpo
Certificação de acessibilidade e laudos para edificações públicas,Itajubá,Detranit,Itajubá - MG,(35) 99902-8633,,Escritório da empresa,3.7,7.0,"""Tem outro número que eu possa ligar?""",-22.423029,-45.45361,Certificao_de_acessibilidade_e_laudos_para_edificaes_pblicas
Certificação de acessibilidade e laudos para edificações públicas,Cruzeiro,Loja do Cruzeiro Minas Shopping,Belo Horizonte - MG,(31) 98959-2179,,Loja de roupas esportivas,4.6,462.0,"""Atendimento da Júlia é sensacional, muito atenciosa, eficiente e educada.""",-19.875238,-43.925056,Certificao_de_acessibilidade_e_laudos_para_edificaes_pblicas
Certificação de acessibilidade e laudos para edificações públicas,Lavras,Senac em Lavras,"R. Cmte. Soares Júnior, 68",0800 724 4440,,Centro Educacional,4.7,96.0,"""É um estabelecimento de 2 andares com escada e elevador para deficientes.""",-21.25445,-44.99788,Certificao_de_acessibilidade_e_laudos_para_edificaes_pblicas
Certificação de acessibilidade e laudos para edificações públicas,Lavras,Prefeitura Municipal de Lavras,"Av. Dr Sylvio Menicucci, 1575",(35) 3694-4000,,Prefeitura,3.6,173.0,"""Lugar de fácil acesso e comodidade excelente e recomendo uma visita.""",-21.245941,-44.990883,Certificao_de_acessibilidade_e_laudos_para_edificaes_pblicas
Certificação de acessibilidade e laudos para edificações públicas,Lavras,SENAI,"Rua Rubio Villela de Andrade, 128",(35) 3821-5210,,Escola técnica,1.0,1.0,,-21.24842,-45.0014,Certificao_de_acessibilidade_e_laudos_para_edificaes_pblicas
Certificação de acessibilidade e laudos para edificações públicas,Pouso Alegre,CENTRAL DE ATENDIMENTO - PREFEITURA MUNICIPAL DE POUSO ALEGRE,"R. Dionísio Machado, 96",(35) 3449-4991,,Prefeitura,3.3,16.0,"""Atendente educada e resolveu a questão""",-22.23097,-45.930107,Certificao_de_acessibilidade_e_laudos_para_edificaes_pblicas
Certificação de acessibilidade e laudos para edificações públicas,Pouso Alegre,Prefeitura Municipal de Pouso Alegre,"R. dos Carijós, 45",(35) 3449-4000,,Prefeitura,2.3,105.0,"""Foi visita rápida e conseguir resolver o que fui fazer lá.""",-22.225876,-45.93787,Certificao_de_acessibilidade_e_laudos_para_edificaes_pblicas
Certificação de acessibilidade e laudos para edificações públicas,Pouso Alegre,Secretaria Municipal de Planejamento Urbano e Meio Ambiente,"R. Cel. Alfredo Custódio de Paula, 605",(35) 3449-4175,,Prefeitura,3.0,1.0,"""Muito burocrático.""",-22.223045,-45.93034,Certificao_de_acessibilidade_e_laudos_para_edificaes_pblicas
Certificação de acessibilidade e laudos para edificações públicas,Pouso Alegre,Secretaria Municipal de Trânsito e Transporte de Pouso Alegre,Rua Coronel José Inacio,(35) 3449-4239,,Repartição pública,2.9,29.0,"""Excelente trabalho sendo realizado.""",-22.233139,-45.939453,Certificao_de_acessibilidade_e_laudos_para_edificaes_pblicas
Certificação de acessibilidade e laudos para edificações públicas,Pouso Alegre,Secretaria Municipal de Políticas Sociais,"R. Prof. Jorge Beltrão, 147",(35) 3449-4233,,Prestador de serviços públicos,4.7,13.0,"""Fui votar,foi rápido,sem espera, pessoas cordiais.""",-22.236107,-45.936646,Certificao_de_acessibilidade_e_laudos_para_edificaes_pblicas
Certificação de acessibilidade e laudos para edificações públicas,Pouso Alegre,Secretaria Municipal de Saúde - Pouso Alegre/MG,"R. Comendador José García, 280",(35) 3449-4901,,Repartição pública,2.8,79.0,"""Lugar com acomodação para espera de chamada de atendimento.""",-22.229713,-45.93327,Certificao_de_acessibilidade_e_laudos_para_edificaes_pblicas
Certificação de acessibilidade e laudos para edificações públicas,Pouso Alegre,Câmara Municipal de Pouso Alegre,"Av. São Francisco, 320",(35) 3429-6501,,Repartição pública local,4.3,47.0,"""Excelente, muito fácil explicito em relação ao conteúdo acessado.""",-22.223698,-45.935368,Certificao_de_acessibilidade_e_laudos_para_edificaes_pblicas
Certificação de acessibilidade e laudos para edificações públicas,Pouso Alegre,Central de Atendimento,"Praça Dr. Garcia Coutinho, 17",(35) 3449-4991,,Prefeitura,4.3,48.0,"""Excelente atendimento""",-22.229761,-45.937435,Certificao_de_acessibilidade_e_laudos_para_edificaes_pblicas
Certificação de acessibilidade e laudos para edificações públicas,Poços de Caldas,Prefeitura Municipal de Poços de Caldas,"Av. Francisco Salles, 343",(35) 3697-5000,,Prefeitura,3.3,304.0,"""No geral merecia mais atenção do poder público municipal.""",-21.785183,-46.56732,Certificao_de_acessibilidade_e_laudos_para_edificaes_pblicas
