Nicho,Nº de cidades analisadas,Média do score,Desvio padrão,Replicabilidade (%)
Regularização de galpões e áreas industriais perante prefeitura,7,0.76,0.07,100.0
Certificação de acessibilidade e laudos para edificações públicas,8,0.73,0.04,100.0
Regularização de outorga de uso de água,5,0.71,0.07,80.0
Legalização de obras e imóveis rurais,6,0.68,0.03,66.67
Projetos de drenagem e contenção de encostas,6,0.66,0.14,66.67
Auditoria de ruído e conforto acústico para escolas e hospitais,7,0.66,0.1,71.43
Projetos e licenciamento de pequenas centrais hidrelétricas,4,0.66,0.08,25.0
Projetos de energia solar para propriedades rurais e pousadas,7,0.65,0.1,42.86
Instalação de microturbinas hidráulicas em sítios e pousadas,6,0.64,0.14,50.0
Instalação e regularização de poços artesianos,7,0.64,0.12,57.14
Assessoria técnica em inventário e partilha de imóveis rurais,7,0.63,0.12,28.57
Projetos e instalação de energia eólica de pequeno porte,1,0.62,0.0,0.0
paisagismo e jardinagem de alto padrão Itajubá,1,0.62,0.0,0.0
Consultoria em licenciamento sanitário e ambiental para clínicas e fábricas,8,0.61,0.06,12.5
consultoria em usucapião Itajubá,1,0.61,0.0,0.0
Consultoria para adequação de acessibilidade digital,1,0.61,0.0,0.0
Projetos de retrofit térmico e eficiência em frigoríficos e laticínios,1,0.6,0.0,0.0
Avaliação técnica e certificação de eficiência de motores elétricos industriais,8,0.6,0.15,37.5
Engenharia de contenção e muros de arrimo residenciais,1,0.6,0.0,0.0
Projetos de acessibilidade e laudos ,7,0.6,0.1,28.57
Consultoria para captação de energia e água em empreendimentos turísticos,1,0.6,0.0,0.0
Arquitetura para reformas comerciais (fachadas e layouts de loja),1,0.6,0.0,0.0
Projetos e regularização de usinas fotovoltaicas coletivas,8,0.59,0.1,12.5
Avaliação patrimonial e laudo técnico para financiamento imobiliário,1,0.59,0.0,0.0
Restauração de móveis e peças antigas,1,0.59,0.0,0.0
Topografia e georreferenciamento de propriedades rurais,1,0.59,0.0,0.0
Consultoria para adaptação de pousadas e sítios ao turismo sustentável,1,0.58,0.0,0.0
Consultoria em crédito de carbono para propriedades rurais,1,0.58,0.0,0.0
Consultoria em reuso de efluentes industriais e rurais,1,0.57,0.0,0.0
Consultoria em gerenciamento de resíduos sólidos,1,0.57,0.0,0.0
fotografia com drone Itajubá,7,0.57,0.15,14.29
Consultoria em adequação de edifícios às normas de eficiência energética,1,0.57,0.0,0.0
Tratamento e análise de qualidade da água,1,0.56,0.0,0.0
restauração de carros antigos Itajubá,7,0.55,0.14,28.57
eficiência energética para empresas Itajubá,1,0.55,0.0,0.0
Consultoria em logística reversa e compliance ambiental para indústrias e supermercados,1,0.55,0.0,0.0
Assessoria em segurança do trabalho,1,0.55,0.0,0.0
regularização de imóveis Itajubá,8,0.55,0.13,12.5
Instalação de sistemas de automação predial comercial,1,0.55,0.0,0.0
Regularização e certificação de segurança contra incêndio (AVCB) para comércios e condomínios,1,0.53,0.0,0.0
Projetos e montagem de cozinhas industriais,1,0.52,0.0,0.0
Consultoria em aproveitamento de águas pluviais em condomínios e escolas,1,0.5,0.0,0.0
instalação de energia solar Itajubá,1,0.49,0.0,0.0
Certificação energética e etiquetagem de edificações (Procel Edifica),3,0.49,0.19,33.33
Laudos e perícias de insalubridade e periculosidade,1,0.48,0.0,0.0
blindagem automotiva Itajubá,1,0.48,0.0,0.0
Automação e monitoramento de estufas agrícolas,1,0.47,0.0,0.0
empresa de automação residencial Itajubá,1,0.46,0.0,0.0
Perícia e vistoria técnica para seguros e obras,1,0.46,0.0,0.0
Regularização ambiental e licenças para propriedades rurais,1,0.46,0.0,0.0
Consultoria em retrofit elétrico e automação predial de prédios antigos,1,0.45,0.0,0.0
Projetos e legalização de biodigestores rurais,1,0.44,0.0,0.0
Arquitetura biofílica e construções sustentáveis,1,0.44,0.0,0.0
Instalação e certificação de sistemas de para-raios (SPDA) para condomínios e empresas,1,0.44,0.0,0.0
Reparo e calibração de equipamentos médicos e laboratoriais,1,0.43,0.0,0.0
Automação de portões e segurança residencial premium,1,0.43,0.0,0.0
Consultoria de captação de recursos / editais para pequenas empresas e ONGs,1,0.43,0.0,0.0
Engenharia e adequação de rede elétrica rural,1,0.43,0.0,0.0
Consultoria para implantação de painéis acústicos e térmicos sustentáveis,1,0.42,0.0,0.0
Consultoria em energia trifásica e subestações industriais,1,0.42,0.0,0.0
Reforma e impermeabilização de telhados,1,0.42,0.0,0.0
Climatização industrial e ventilação técnica,1,0.42,0.0,0.0
Consultoria em eficiência acústica e isolamento residencial,1,0.42,0.0,0.0
Consultoria e instalação de câmaras frias para comércios e indústrias,1,0.42,0.0,0.0
Manutenção e automação de bombas e reservatórios de água,1,0.42,0.0,0.0
Serviço de restauração e manutenção de pisos industriais epoxi,1,0.41,0.0,0.0
Consultoria e execução de acústica em estúdios e igrejas,1,0.41,0.0,0.0
Consultoria em geotecnia e estabilidade de taludes,1,0.41,0.0,0.0
Laudos e perícias estruturais residenciais,1,0.41,0.0,0.0
marcenaria sob medida Itajubá,1,0.41,0.0,0.0
Instalação de reservatórios e sistemas de combate a incêndio,1,0.4,0.0,0.0
Instalação de cisternas e sistemas de reuso de água,1,0.39,0.0,0.0
Projetos de acessibilidade e certificação de calçadas urbanas,1,0.37,0.0,0.0
Sistemas de irrigação inteligente para sítios e estufas,1,0.32,0.0,0.0
Reforma estrutural e reforço de fundações em imóveis antigos,1,0.32,0.0,0.0
Laudos e certificação estrutural para reforma de imóveis comerciais antigos,1,0.32,0.0,0.0
Laudos de impacto de vizinhança (EIV/RIV) para empreendimentos comerciais,1,0.32,0.0,0.0
Inspeção predial e manutenção obrigatória,1,0.31,0.0,0.0
Serviços de demarcação e atualização cadastral de imóveis rurais via drones + SIG,1,0.3,0.0,0.0
Regularização fundiária urbana e condomínios irregulares,1,0.29,0.0,0.0
Consultoria para usinas de biogás e resíduos agroindustriais,1,0.0,0.0,0.0
Georreferenciamento e desmembramento de terrenos rurais,1,0.0,0.0,0.0
