nicho,cidade,nome,endereco,telefone,website,tipo,nota,reviews,Descricao,Latitude,Longitude
Auditoria de ruído e conforto acústico para escolas e hospitais,Itajubá,Zetalab LTDA,Itajubá - MG,(35) 99974-5904,,Consultor em acústica,5.0,25,"""Empresa muito competente de ótima qualidade e serviços""",-22.426107,-45.448444
Auditoria de ruído e conforto acústico para escolas e hospitais,Itajubá,Fonoaudium,Itajubá - MG,(35) 3622-6166,,Audiologista,4.6,81,"""Recomendo muito !!!!!!""",-22.424559,-45.459316
Laudos de impacto de vizinhança (EIV/RIV) para empreendimentos comerciais,Itajubá,Construtora Renovare,,(35) 99185-3378,,Empresa de engenharia civil,5.0,4,"""Estou muito satisfeita com a construtora!""",,
Consultoria em logística reversa e compliance ambiental para indústrias e supermercados,Itajubá,Equilibre Ambiental,Itajubá - MG,(35) 3622-2837,,Consultor ambiental,4.9,18,"""Recomendo muito.""",-22.422697,-45.453815
Consultoria em logística reversa e compliance ambiental para indústrias e supermercados,Itajubá,ATLAS Consultoria Ambiental,Itajubá - MG,(35) 3623-3738,,Consultor ambiental,0.0,0,,-22.42483,-45.453354
Consultoria em logística reversa e compliance ambiental para indústrias e supermercados,Itajubá,Atlas Consultoria Ambiental,Itajubá - MG,(35) 99887-1884,,Consultor ambiental,3.0,1,,-22.424501,-45.45092
Projetos de retrofit térmico e eficiência em frigoríficos e laticínios,Itajubá,Rennosonic Tecnologia,Itajubá - MG,(35) 3622-0327,,Escritório da empresa,4.9,8,,-22.42691,-45.448032
Projetos de retrofit térmico e eficiência em frigoríficos e laticínios,Itajubá,Incubadora de Empresas de Base Tecnológica de Itajubá,Itajubá - MG,,,Sindicato,5.0,22,,-22.410841,-45.449615
Projetos de retrofit térmico e eficiência em frigoríficos e laticínios,Itajubá,PCTI,Itajubá - MG,,,Escritório da empresa,0.0,0,,-22.404732,-45.4284
Laudos e certificação estrutural para reforma de imóveis comerciais antigos,Itajubá,Bueno Estrutural - Mega Estaca,Itajubá - MG,(35) 99731-4004,,Empresa de engenharia civil,5.0,5,"""Preço justo!""",-22.42173,-45.4606
Instalação e certificação de sistemas de para-raios (SPDA) para condomínios e empresas,Itajubá,Gelcam Proteção Ind e Com Ltda,Itajubá - MG,(35) 3623-2670,,Fornecedor de equipamentos elétricos,5.0,3,,-22.423792,-45.475193
Instalação e certificação de sistemas de para-raios (SPDA) para condomínios e empresas,Itajubá,SPDA PARA-RAIOS,,(31) 99939-4105,,Serviços de engenharia eletrônica,0.0,0,,,
