nicho,cidade,nome,nota,reviews,endereco,telefone,site,categoria
empresa de automação residencial Itajubá,Itajubá,Controlar,5.0,1.0,"R. Nossa Sra. do Rosário, 330 - Novo Horizonte, Itajubá - MG, 37505-405, Brasil",+55 35 98438-3436,https://www.instagram.com/controlar.automacao/?hl=pt-br,Empresa de automação de casas
empresa de automação residencial Itajubá,Itajubá,Devstate Automação,5.0,1.0,"Av. Padre Lourenço da Costa-Rodovia Br-459, 1205 - Varginha, Itajubá - MG, 37502-454, Brasil",+55 31 98400-5684,,Empresa de Automação Empresarial
empresa de automação residencial Itajubá,Itajubá,Prime Interway Itajubá (Aidc Tecnologia Ltda),5.0,6.0,"Rod. Poços de Caldas, 148 - Avenida, Itajubá - MG, 37504-110, Brasil",+55 35 3629-7550,http://www.primeinterway.com.br/,Empresa de Automação Empresarial
empresa de automação residencial Itajubá,Itajubá,ICS - Automação e Redes Industriais,5.0,1.0,"R. Mal. Floriano, 240 - Morro Chic, Itajubá - MG, 37500-088, Brasil",+55 35 3623-5066,http://www.ics-brasil.com.br/,Empresa de Automação Empresarial
empresa de automação residencial Itajubá,Itajubá,IE Tecnologia,3.9,16.0,"Av. Henriqueto Cardinale, 800 - Varginha, Itajubá - MG, 37501-150, Brasil",+55 35 3622-1720,http://www.ietecnologia.com/,Empresa de Automação Empresarial
empresa de automação residencial Itajubá,Itajubá,INVENT- Automação Industrial e Usinagem,5.0,3.0,"RUA ENGENHEIRO, R. Albert Starke, N° 50 - Distrito Industrial, Itajubá - MG, 37504-090, Brasil",+55 35 3623-3702,https://invent.ind.br/,Fabricante de maquinaria
empresa de automação residencial Itajubá,Itajubá,TCI Brasil Ind de Automação,,,"R. João Hermenegildo, 210 - São Vicente, Itajubá - MG, 37500-000, Brasil",+55 35 3621-4123,,Empresa de Automação Empresarial
empresa de automação residencial Itajubá,Itajubá,Vector Automação,,,"Av. Cel. Carneiro Júnior, 57 - Centro, Itajubá - MG, 37500-018, Brasil",+55 35 3622-7522,https://www.vector.eng.br/sobre.html,Fabricante
empresa de automação residencial Itajubá,Itajubá,MULTIMEC IND E COM EQUIP ELETRÔNICOS LTDA,4.3,9.0,"R. Cel. Francisco Braz, 185 - SALA 301 - Centro, Itajubá - MG, 37500-005, Brasil",+55 35 98437-9295,http://multimecx3.com.br/,Fabricante de eletrônicos
empresa de automação residencial Itajubá,Itajubá,Techouse Segurança Eletrônica - Sistemas | Câmeras | Redes | Alarmes,4.4,57.0,"R. Cel. Goularte, 06 - Boa Vista, Itajubá - MG, 37505-022, Brasil",+55 35 3623-8574,http://techousesolucoes.com.br/,Empresa de segurança
empresa de automação residencial Itajubá,Itajubá,fastron automação,,,"R. Profa. Isaura Pereira dos Santos, 123 - Avenida, Itajubá - MG, 37504-016, Brasil",+55 35 99196-6835,,Fabricante
empresa de automação residencial Itajubá,Itajubá,Brahelle Solutions,5.0,4.0,"R. Carlos Gallo, 13 - Açude (Jd Colina), Itajubá - MG, 37504-300, Brasil",+55 35 3617-5952,https://www.brahelle.com.br/,Empresa de Automação Empresarial
empresa de automação residencial Itajubá,Itajubá,Irambi Automação Industrial,,,"Praça Dr. José Braz, 47 - Morro Chic, Itajubá - MG, 37500-074, Brasil",+55 12 98174-0677,http://irambi.com/,Empresa de Automação Empresarial
empresa de automação residencial Itajubá,Itajubá,Datapool Tecnologia Ltda,,,"Av. José Theóphilo, 32 - 32 - Nossa Sra. de Fatima, Itajubá - MG, 37502-550, Brasil",+55 35 3629-9550,http://tecnologia.datapool.com.br/,Empresa de Automação Empresarial
empresa de automação residencial Itajubá,Itajubá,DAC Engenharia Ltda,5.0,11.0,"R. Cel. Joaquim Francisco, 341 - Varginha, Itajubá - MG, 37501-052, Brasil",+55 35 2143-9087,,Empresa de engenharia civil
empresa de automação residencial Itajubá,Itajubá,Advantech Brasil,5.0,1.0,"R. Dr. Hoffman, 281 - Morro Chic, Itajubá - MG, 37500-086, Brasil",+55 11 5592-5355,http://www.advantech.com.br/,Fornecedor de equipamentos industriais
empresa de automação residencial Itajubá,Itajubá,Navtec Sistemas Aeronaúticos Ltda,5.0,1.0,"R. Mal. Floriano, 35 - Morro Chic, Itajubá - MG, 37500-088, Brasil",+55 35 3623-6167,http://www.navtec.com.br/,Fabricante de eletrônicos
empresa de automação residencial Itajubá,Itajubá,Bueno Estrutural - Mega Estaca,5.0,5.0,"R. Mal. Floriano, 237 - Morro Chic, Itajubá - MG, 37500-088, Brasil",+55 35 99731-4004,https://www.buenoestrutural.com.br/,Empresa de engenharia civil
empresa de automação residencial Itajubá,Itajubá,OETEL - Oficial Engenharia de Telecomunicações,5.0,11.0,"Av. Pres. Tancredo de Almeida Neves, 372 - Avenida, Itajubá - MG, 37504-066, Brasil",+55 35 99760-9120,http://www.oetel.com.br/,Fornecedor de equipamentos de telecomunicações
empresa de automação residencial Itajubá,Itajubá,Planta Serviços de Impressão e Plotagem de Projetos,4.9,10.0,"Praça Amelia Braga, 26 - Centro, Itajubá - MG, 37500-030, Brasil",+55 35 99777-5810,https://www.facebook.com/planta.servicosimpressao,Impressões
