nicho,cidade,nome,endereco,telefone,website,tipo,nota,reviews,Descricao,Latitude,Longitude
Tratamento e análise de qualidade da água,Itajubá,Estação de Tratamento de Água,Itajubá - MG,,,Estação de tratamento de água,3.5,2.0,,-22.443142,-45.423523
Tratamento e análise de qualidade da água,Itajubá,Água Pura Itajubá Distribuidora,Itajubá - MG,(35) 99979-5479,,Distribuidora de bebidas,4.9,18.0,"""Água de primeira qualidade e parabéns pelo atendimento.""",-22.433744,-45.462074
Tratamento e análise de qualidade da água,Itajubá,Disk agua Sulminas,Itajubá - MG,(35) 3622-9724,,Distribuidora de bebidas,4.7,21.0,"""Ótimo atendimento.""",-22.43008,-45.44386
Tratamento e análise de qualidade da água,Itajubá,Disk Agua Mantiqueira,Itajubá - MG,(35) 3622-0180,,Fornecedor de água engarrafada,4.3,41.0,"""Melhor Água Mineral do Sul de Minas !""",-22.42844,-45.446487
Tratamento e análise de qualidade da água,Itajubá,Desembala Produtos de Limpeza Sustentáveis - Refil Zero Plástico,Itajubá - MG,(35) 99813-1481,,Fornecedor de produtos de limpeza,4.9,168.0,"""Produto muito bom, a casa fica muito cheirosa,gostei de tds e recomendo""",-22.415686,-45.451813
Tratamento e análise de qualidade da água,Itajubá,Líder Gás e Água,Itajubá - MG,(35) 99128-6337,,Companhia de gás,5.0,175.0,"""Ótimo trabalho voi recomendado por outros clientes .""",-22.438173,-45.471775
Tratamento e análise de qualidade da água,Itajubá,Monte Verde Carbon,Itajubá - MG,(35) 98804-3801,,Consultor ambiental,5.0,1.0,,-22.423878,-45.450558
Tratamento e análise de qualidade da água,Itajubá,PURIFIC ITAJUBÁ,Itajubá - MG,(35) 98877-9204,,Tratamento de água,5.0,36.0,"""Muito responsável e explica tudo com muita atenção.""",-22.426342,-45.45341
Tratamento e análise de qualidade da água,Itajubá,Fazenda Certa,Itajubá - MG,,,Avaliadora de imóveis,5.0,6.0,,-22.412844,-45.44922
Tratamento e análise de qualidade da água,Itajubá,D D Limp Dedetizadora e Desentupidora,Itajubá - MG,(35) 3622-4300,,Dedetizadora,4.3,79.0,"""Excelente serviço com eficiência, rapidez e bom preço""",-22.429815,-45.4598
Tratamento e análise de qualidade da água,Itajubá,WorQui Jr. - UNIFEI,Itajubá - MG,(35) 98841-0102,,Laboratório de bioquímica,,,,-22.412233,-45.449543
Projetos e legalização de biodigestores rurais,Itajubá,Equilibre Ambiental,Itajubá - MG,(35) 3622-2837,,Consultor ambiental,4.9,18.0,"""Super recomendo e confio na equipe da empresa Equilibre Ambiental!""",-22.422697,-45.453815
Regularização de outorga de uso de água,Itajubá,RESGACTI,,(35) 99945-0494,,Organização não governamental,4.1,7.0,,,
Regularização de outorga de uso de água,Itajubá,META ENVIRON - Consultoria Ambiental e Engenharia,Itajubá - MG,(35) 99892-1421,,Engenharia ambiental,5.0,1.0,,-22.434446,-45.458717
Regularização de outorga de uso de água,Itajubá,Instituto Mineiro de Gestão das Águas,Belo Horizonte - MG,(31) 3915-1000,,Companhia de saneamento,3.6,11.0,"""M3 Geologia (32) 99938-4920""",-19.78304,-43.95133
Regularização de outorga de uso de água,Itajubá,Unidade de Atendimento Integrado (UAI) Itajubá - MG,Itajubá - MG,(35) 99802-1340,,Repartição pública,3.8,175.0,"""Atendentes super educados Ótimo atendimento Lugar bem estruturado""",-22.427402,-45.456757
