nicho,cidade,nome,Endereço,Telefone,Website,Tipo,nota,reviews,Descricao,Latitude,Longitude
Regularização de imóveis antigos e galpões industriais,Rio de Janeiro,Sérgio Castro Imóveis (Copacabana),N/A,(21) 2199-3722,N/A,Imobiliária,4.9,8,N/A,N/A,N/A
Regularização de imóveis antigos e galpões industriais,Rio de Janeiro,Green Imóveis,N/A,(21) 2439-0531,N/A,Imobiliária,4.2,28,N/A,N/A,N/A
Regularização de imóveis antigos e galpões industriais,Rio de Janeiro,Aluguel de Galpão RJ," · Av. Nossa Sra. de Copacabana, 435/1108",(21) 99260-3562,https://antonioterra.com/,Agência de imóveis comerciais,5.0,1,N/A,N/A,N/A
Regularização de imóveis antigos e galpões industriais,Rio de Janeiro,Heranca Negócios Imobiliários & Assessoria Jurídica," · Estr. dos Bandeirantes, nº 470",(21) 3627-0027,http://www.herancaimoveis.com.br/,Imobiliária de aluguel de residências,4.6,30,N/A,N/A,N/A
Regularização de imóveis antigos e galpões industriais,Rio de Janeiro,"Guarde Mais - Tv. Santo Antônio | Self Storage, Guarda Móveis, Guarda Volumes e Armazenagem em Niterói"," · Tv. Santo Antônio, 14",(21) 98417-9482,https://guardemais.com.br/unidades-self-storage/rio-de-janeiro/niteroi/niteroi-travessa-santo-antonio/,Depósito,4.9,130,N/A,N/A,N/A
Regularização de imóveis antigos e galpões industriais,Rio de Janeiro,Cabral & Mesack," · R. Silva Cardoso, 50 - Loja A",(21) 2401-6179,http://www.cabralemesack.com.br/,Imobiliária,4.2,181,N/A,N/A,N/A
Regularização de imóveis antigos e galpões industriais,Rio de Janeiro,Instituto Nacional da Propriedade Industrial," · Rua Mairink Veiga, 9",(21) 3037-3000,http://www.gov.br/inpi,Repartição pública federal,4.3,322,N/A,N/A,N/A
Regularização de imóveis antigos e galpões industriais,Rio de Janeiro,ROYAL IMÓVEIS RJ," · Estrada de Jacarepaguá 7221 Salas 316, 317 e 318",(21) 99800-1209,http://www.royalimoveisrj.com/,Imobiliária,5.0,190,N/A,N/A,N/A
Regularização de imóveis antigos e galpões industriais,Rio de Janeiro,PATRIMONIORIO,N/A,(21) 3301-9150,http://www.patrimoniorio.com.br/,Consultora de imóveis,4.4,164,N/A,N/A,N/A
Regularização de imóveis antigos e galpões industriais,Rio de Janeiro,GALPÕES INDUSTRIAIS," · Avenida Santos Dumont, 2321 - sob loja",(11) 2412-0303,https://www.galpoesindustriais.com/,Imobiliária,4.9,37,N/A,N/A,N/A
Regularização de imóveis antigos e galpões industriais,Rio de Janeiro,Block Imóveis," · Av. Genaro de Carvalho, 1305",(21) 2437-9295,http://www.blockimoveis.com.br/,Imobiliária,4.8,766,N/A,N/A,N/A
