cidade,nicho,empresas,nota_media,total_reviews,pct_baixa_qualidade,sem_review,score_oportunidade,classificacao
Itajubá,restauração de carros antigos Itajubá,4,4.8999999999999995,6950.0,0.0,25.0,0.646,Média
Itajubá,fotografia com drone Itajubá,4,4.925,74.0,0.0,0.0,0.645,Média
Itajubá,regularização de imóveis Itajubá,1,3.3,32.0,100.0,0.0,0.643,Média
Itajubá,paisagismo e jardinagem de alto padrão Itajubá,6,4.866666666666667,568.0,0.0,0.0,0.618,Média
Itajubá,consultoria em usucapião Itajubá,6,4.966666666666667,206.0,0.0,0.0,0.612,Média
Itajubá,eficiência energética para empresas Itajubá,11,4.781818181818182,207.0,9.090909090909092,0.0,0.548,Média
Itajubá,instalação de energia solar Itajubá,16,4.5249999999999995,323.0,6.25,25.0,0.489,Média
Itajubá,blindagem automotiva Itajubá,16,4.707142857142857,619.0,6.25,12.5,0.478,Média
Itajubá,empresa de automação residencial Itajubá,18,4.44375,277.0,22.22222222222222,11.11111111111111,0.463,Média
Itajubá,marcenaria sob medida Itajubá,20,4.85625,175.0,5.0,20.0,0.409,Média
