cidade,nicho,empresas,nota_media,total_reviews,pct_baixa_qualidade,pct_sem_reviews,score_oportunidade,classificacao
Itajubá,Instalação e regularização de poços artesianos,1,4.9,65.0,0.0,0.0,0.691,Alta
Itajubá,Projetos de energia solar para propriedades rurais e pousadas,5,4.88,141.0,0.0,0.0,0.632,Média
Itajubá,Arquitetura para reformas comerciais (fachadas e layouts de loja),7,4.928571428571429,179.0,0.0,0.0,0.599,Média
Itajubá,Regularização ambiental e licenças para propriedades rurais,2,4.95,24.0,0.0,0.0,0.465,Média
Itajubá,Automação de portões e segurança residencial premium,20,4.436842105263158,415.0,20.0,5.0,0.434,Média
Itajubá,Consultoria de captação de recursos / editais para pequenas empresas e ONGs,20,4.568421052631579,656.0,10.0,5.0,0.426,Média
Itajubá,Reforma e impermeabilização de telhados,20,4.711111111111111,386.0,5.0,10.0,0.417,Média
Itajubá,Consultoria em energia trifásica e subestações industriais,20,4.75,362.0,5.0,0.0,0.415,Média
Itajubá,Laudos e perícias estruturais residenciais,20,4.795,468.0,5.0,0.0,0.412,Média
Itajubá,Consultoria e execução de acústica em estúdios e igrejas,20,4.816666666666666,521.0,0.0,10.0,0.411,Média
